franchID,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,yearID
Sevilla,8,38,14,11,13,51,40,11,53,1.39,2002
Tenerife,19,38,10,8,20,32,58,-26,38,1,2002
Valencia,1,38,21,12,5,51,27,24,75,1.97,2002
Valladolid,12,38,13,9,16,45,58,-13,48,1.26,2002
Villarreal,15,38,11,10,17,46,55,-9,43,1.13,2002
Zaragoza,20,38,9,10,19,35,54,-19,37,0.97,2002
Alavés,19,38,8,11,19,38,68,-30,35,0.92,2003
Athletic Club,7,38,15,10,13,63,61,2,55,1.45,2003
Atlético Madrid,12,38,12,11,15,51,56,-5,47,1.24,2003
Barcelona,6,38,15,11,12,63,47,16,56,1.47,2003
Celta Vigo,4,38,17,10,11,45,36,9,61,1.61,2003
Espanyol,17,38,10,13,15,48,54,-6,43,1.13,2003
La Coruña,3,38,22,6,10,67,47,20,72,1.89,2003
Málaga,13,38,11,13,14,44,49,-5,46,1.21,2003
Mallorca,9,38,14,10,14,49,56,-7,52,1.37,2003
Osasuna,11,38,12,11,15,40,48,-8,47,1.24,2003
Racing Sant,16,38,13,5,20,54,64,-10,44,1.16,2003
Rayo Vallecano,20,38,7,11,20,31,62,-31,32,0.84,2003
Real Betis,8,38,14,12,12,56,53,3,54,1.42,2003
Real Madrid,1,38,22,12,4,86,42,44,78,2.05,2003
Real Sociedad,2,38,22,10,6,71,45,26,76,2,2003
Recreativo,18,38,8,12,18,35,61,-26,36,0.95,2003
Sevilla,10,38,13,11,14,38,39,-1,50,1.32,2003
Valencia,5,38,17,9,12,56,35,21,60,1.58,2003
Valladolid,14,38,12,10,16,37,40,-3,46,1.21,2003
Villarreal,15,38,11,12,15,44,53,-9,45,1.18,2003
Albacete,14,38,13,8,17,40,48,-8,47,1.24,2004
Athletic Club,5,38,15,11,12,53,49,4,56,1.47,2004
Atlético Madrid,7,38,15,10,13,51,53,-2,55,1.45,2004
Barcelona,2,38,21,9,8,63,39,24,72,1.89,2004
Celta Vigo,19,38,9,12,17,48,68,-20,39,1.03,2004
Espanyol,16,38,13,4,21,48,64,-16,43,1.13,2004
La Coruña,3,38,21,8,9,60,34,26,71,1.87,2004
Málaga,10,38,15,6,17,50,55,-5,51,1.34,2004
Mallorca,11,38,15,6,17,54,66,-12,51,1.34,2004
Osasuna,13,38,11,15,12,38,37,1,48,1.26,2004
Racing Sant,17,38,11,10,17,48,63,-15,43,1.13,2004
Real Betis,9,38,13,13,12,46,43,3,52,1.37,2004
