franchID,City,Team,yearID,LG,Ord,G,W,L,T,Cwin,CRU
TYS,Yakult,Swallows,1987,C,4,130,58,64,8,N,N
YOK,Yokohoma Taiyo,Whales,1987,C,5,130,56,68,6,N,N
HAN,Hanshin,Tigers,1987,C,6,130,41,83,6,N,N
SSL,Seibu,Lions,1987,P,1,130,71,45,14,Y,N
BUF,Hankyu,Braves,1987,P,2,130,64,56,10,N,N
HNF,Nippon Ham,Fighters,1987,P,3,130,63,60,7,N,N
FUK,Nankai,Hawks,1987,P,4,130,57,63,10,N,N
CLM,Lotte,Orions,1987,P,5,130,51,65,14,N,N
KIN,Kintetsu,Buffaloes,1987,P,6,130,52,69,9,N,N
CDR,Chuncihi,Dragons,1988,C,1,130,79,46,5,N,Y
YMG,Yomiuri,Giants,1988,C,2,130,68,59,3,N,N
HIR,Hiroshima Toyo,Carp,1988,C,3,130,65,62,3,N,N
YOK,Yokohoma Taiyo,Whales,1988,C,4,130,59,67,4,N,N
TYS,Yakult,Swallows,1988,C,5,130,58,69,3,N,N
HAN,Hanshin,Tigers,1988,C,6,130,51,77,2,N,N
SSL,Seibu,Lions,1988,P,1,130,73,51,6,Y,N
KIN,Kintetsu,Buffaloes,1988,P,2,130,74,52,4,N,N
HNF,Nippon Ham,Fighters,1988,P,3,130,62,65,3,N,N
BUF,Hankyu,Braves,1988,P,4,130,60,68,2,N,N
FUK,Nankai,Hawks,1988,P,5,130,58,71,1,N,N
CLM,Lotte,Orions,1988,P,6,130,54,74,2,N,N
YMG,Yomiuri,Giants,1989,C,1,130,84,44,2,Y,N
HIR,Hiroshima Toyo,Carp,1989,C,2,130,73,51,6,N,N
CDR,Chuncihi,Dragons,1989,C,3,130,68,59,3,N,N
TYS,Yakult,Swallows,1989,C,4,130,55,72,3,N,N
HAN,Hanshin,Tigers,1989,C,5,130,54,75,1,N,N
YOK,Yokohoma Taiyo,Whales,1989,C,6,130,47,80,3,N,N
KIN,Kintetsu,Buffaloes,1989,P,1,130,71,54,5,N,Y
BUF,Orix,Blue Wave,1989,P,2,130,72,55,3,N,N
SSL,Seibu,Lions,1989,P,3,130,69,53,8,N,N
FUK,Fukuoka Daiei,Hawks,1989,P,4,130,59,64,7,N,N
HNF,Nippon Ham,Fighters,1989,P,5,130,54,73,3,N,N
CLM,Lotte,Orions,1989,P,6,130,48,74,8,N,N
YMG,Yomiuri,Giants,1990,C,1,130,88,42,0,N,Y
HIR,Hiroshima Toyo,Carp,1990,C,2,132,66,64,2,N,N
YOK,Yokohoma Taiyo,Whales,1990,C,3,133,64,66,3,N,N
CDR,Chuncihi,Dragons,1990,C,4,131,62,68,1,N,N
TYS,Yakult,Swallows,1990,C,5,130,58,72,0,N,N
HAN,Hanshin,Tigers,1990,C,6,130,52,78,0,N,N
SSL,Seibu,Lions,1990,P,1,130,81,45,4,Y,N
BUF,Orix,Braves,1990,P,2,130,69,57,4,N,N
KIN,Kintetsu,Buffaloes,1990,P,3,130,67,60,3,N,N
HNF,Nippon Ham,Fighters,1990,P,4,130,66,63,1,N,N
CLM,Lotte,Orions,1990,P,5,130,57,71,2,N,N
FUK,Fukuoka Daiei,Hawks,1990,P,6,130,41,85,4,N,N
HIR,Hiroshima Toyo,Carp,1991,C,1,132,74,56,2,N,Y
CDR,Chuncihi,Dragons,1991,C,2,131,71,59,1,N,N
TYS,Yakult,Swallows,1991,C,3,132,67,63,2,N,N
YMG,Yomiuri,Giants,1991,C,4,130,66,64,0,N,N
YOK,Yokohoma Taiyo,Whales,1991,C,5,131,64,66,1,N,N
HAN,Hanshin,Tigers,1991,C,6,130,48,82,0,N,N
SSL,Seibu,Lions,1991,P,1,130,81,43,6,Y,N
KIN,Kintetsu,Buffaloes,1991,P,2,130,77,48,5,N,N
BUF,Orix,Blue Wave,1991,P,3,130,64,63,3,N,N
HNF,Nippon Ham,Fighters,1991,P,4,130,53,72,5,N,N
FUK,Fukuoka Daiei,Hawks,1991,P,5,130,53,73,4,N,N
CLM,Lotte,Orions,1991,P,6,130,48,77,5,N,N
TYS,Yakult,Swallows,1992,C,1,131,69,61,1,N,Y
YMG,Yomiuri,Giants,1992,C,2,130,67,63,0,N,N
HAN,Hanshin,Tigers,1992,C,3,132,67,63,2,N,N
HIR,Hiroshima Toyo,Carp,1992,C,4,130,66,64,0,N,N
YOK,Yokohoma Taiyo,Whales,1992,C,5,131,61,69,1,N,N
CDR,Chuncihi,Dragons,1992,C,6,130,60,70,0,N,N
SSL,Seibu,Lions,1992,P,1,130,80,47,3,Y,N
KIN,Kintetsu,Buffaloes,1992,P,2,130,74,50,6,N,N
BUF,Orix,Blue Wave,1992,P,3,130,61,64,5,N,N
FUK,Fukuoka Daiei,Hawks,1992,P,4,130,57,72,1,N,N
HNF,Nippon Ham,Fighters,1992,P,5,130,54,73,3,N,N
CLM,Chiba Lotte,Marines,1992,P,6,130,54,74,2,N,N
TYS,Yakult,Swallows,1993,C,1,132,80,50,2,Y,N
CDR,Chuncihi,Dragons,1993,C,2,132,73,57,2,N,N
YMG,Yomiuri,Giants,1993,C,3,131,64,66,1,N,N
HAN,Hanshin,Tigers,1993,C,4,132,63,67,2,N,N
YOK,Yokohoma,Bay Stars,1993,C,5,130,57,73,0,N,N
HIR,Hiroshima Toyo,Carp,1993,C,6,131,53,77,1,N,N
SSL,Seibu,Lions,1993,P,1,130,74,53,3,N,Y
HNF,Nippon Ham,Fighters,1993,P,2,130,71,52,7,N,N
BUF,Orix,Blue Wave,1993,P,3,130,70,56,4,N,N
KIN,Kintetsu,Buffaloes,1993,P,4,130,66,59,5,N,N
CLM,Chiba Lotte,Marines,1993,P,5,130,51,77,2,N,N
FUK,Fukuoka Daiei,Hawks,1993,P,6,130,45,80,5,N,N
YMG,Yomiuri,Giants,1994,C,1,130,70,60,0,Y,N
CDR,Chuncihi,Dragons,1994,C,2,130,69,61,0,N,N
HIR,Hiroshima Toyo,Carp,1994,C,3,130,66,64,0,N,N
TYS,Yakult,Swallows,1994,C,4,130,62,68,0,N,N
HAN,Hanshin,Tigers,1994,C,5,130,62,68,0,N,N
YOK,Yokohoma,Bay Stars,1994,C,6,130,61,69,0,N,N
SSL,Seibu,Lions,1994,P,1,130,76,52,2,N,Y
BUF,Orix,Blue Wave,1994,P,2,130,68,59,3,N,N
KIN,Kintetsu,Buffaloes,1994,P,3,130,68,59,3,N,N
FUK,Fukuoka Daiei,Hawks,1994,P,4,130,69,60,1,N,N
CLM,Chiba Lotte,Marines,1994,P,5,130,55,73,2,N,N
HNF,Nippon Ham,Fighters,1994,P,6,130,46,79,5,N,N
TYS,Yakult,Swallows,1995,C,1,130,82,48,0,Y,N
HIR,Hiroshima Toyo,Carp,1995,C,2,131,74,56,1,N,N
YMG,Yomiuri,Giants,1995,C,3,131,72,58,1,N,N
YOK,Yokohoma,Bay Stars,1995,C,4,130,66,64,0,N,N
CDR,Chuncihi,Dragons,1995,C,5,130,50,80,0,N,N
HAN,Hanshin,Tigers,1995,C,6,130,46,84,0,N,N
BUF,Orix,Blue Wave,1995,P,1,130,82,47,1,N,Y
CLM,Chiba Lotte,Marines,1995,P,2,130,69,58,3,N,N
SSL,Seibu,Lions,1995,P,3,130,67,57,6,N,N
HNF,Nippon Ham,Fighters,1995,P,4,130,59,68,3,N,N
FUK,Fukuoka Daiei,Hawks,1995,P,5,130,54,72,4,N,N
KIN,Kintetsu,Buffaloes,1995,P,6,130,49,78,3,N,N
YMG,Yomiuri,Giants,1996,C,1,130,77,53,0,N,Y
CDR,Chuncihi,Dragons,1996,C,2,130,72,58,0,N,N
HIR,Hiroshima,Carp,1996,C,3,130,71,59,0,N,N
TYS,Yakult,Swallows,1996,C,4,130,61,69,0,N,N
YOK,Yokohoma,Bay Stars,1996,C,5,130,55,75,0,N,N
HAN,Hanshin,Tigers,1996,C,6,130,54,76,0,N,N
BUF,Orix,Blue Wave,1996,P,1,130,74,50,6,Y,N
HNF,Nippon Ham,Fighters,1996,P,2,130,68,58,4,N,N
SSL,Seibu,Lions,1996,P,3,130,62,64,4,N,N
KIN,Kintetsu,Buffaloes,1996,P,4,130,62,67,1,N,N
CLM,Lotte,Marines,1996,P,5,130,60,67,3,N,N
FUK,Daiei,Hawks,1996,P,6,130,54,74,2,N,N
TYS,Yakult,Swallows,1997,C,1,137,83,52,2,Y,N
YOK,Yokohoma,Bay Stars,1997,C,2,135,72,63,0,N,N
HIR,Hiroshima Toyo,Carp,1997,C,3,135,66,69,0,N,N
YMG,Yomiuri,Giants,1997,C,4,135,63,72,0,N,N
HAN,Hanshin,Tigers,1997,C,5,136,62,73,1,N,N
CDR,Chuncihi,Dragons,1997,C,6,136,59,76,1,N,N
SSL,Seibu,Lions,1997,P,1,135,76,56,3,N,Y
BUF,Orix,Blue Wave,1997,P,2,135,71,61,3,N,N
KIN,Kintetsu,Buffaloes,1997,P,3,135,68,63,4,N,N
FUK,Fukuoka Daiei,Hawks,1997,P,4,135,63,71,1,N,N
HNF,Nippon Ham,Fighters,1997,P,5,135,63,71,1,N,N
CLM,Chiba Lotte,Marines,1997,P,6,135,57,76,2,N,N
YOK,Yokohoma,Bay Stars,1998,C,1,136,79,56,1,Y,N
CDR,Chuncihi,Dragons,1998,C,2,136,75,60,1,N,N
YMG,Yomiuri,Giants,1998,C,3,135,73,62,0,N,N
TYS,Yakult,Swallows,1998,C,4,135,66,69,0,N,N
HIR,Hiroshima,Carp,1998,C,5,135,60,75,0,N,N
HAN,Hanshin,Tigers,1998,C,6,135,52,83,0,N,N
SSL,Seibu,Lions,1998,P,1,135,70,61,4,N,Y
HNF,Nippon Ham,Fighters,1998,P,2,135,67,65,3,N,N
BUF,Orix,Blue Wave,1998,P,3,135,66,66,3,N,N
FUK,Daiei,Hawks,1998,P,4,135,67,67,1,N,N
KIN,Kintetsu,Buffaloes,1998,P,5,135,66,67,2,N,N
CLM,Lotte,Marines,1998,P,6,135,61,71,3,N,N
CDR,Chuncihi,Dragons,1999,C,1,135,81,54,0,N,Y
YMG,Yomiuri,Giants,1999,C,2,135,75,60,0,N,N
YOK,Yokohoma,Bay Stars,1999,C,3,135,71,64,0,N,N
TYS,Yakult,Swallows,1999,C,4,135,66,69,0,N,N
HIR,Hiroshima Toyo,Carp,1999,C,5,135,57,78,0,N,N
HAN,Hanshin,Tigers,1999,C,6,135,55,80,0,N,N
FUK,Fukuoka Daiei,Hawks,1999,P,1,135,78,54,3,Y,N
SSL,Seibu,Lions,1999,P,2,135,75,59,1,N,N
BUF,Orix,Blue Wave,1999,P,3,135,68,65,2,N,N
CLM,Chiba Lotte,Marines,1999,P,4,135,63,70,2,N,N
HNF,Nippon Ham,Fighters,1999,P,5,135,60,73,2,N,N
KIN,Osaka Kintetsu,Buffaloes,1999,P,6,135,54,77,4,N,N
YMG,Yomiuri,Giants,2000,C,1,135,78,57,0,Y,N
CDR,Chuncihi,Dragons,2000,C,2,135,70,65,0,N,N
YOK,Yokohoma,Bay Stars,2000,C,3,136,69,66,1,N,N
