yearID,franchID,Lg,Tm,W,L,T,Div. Finish,Playoffs,ch_sb_win,ch_sb_app
1991,ATL,NFL,Atlanta Falcons,10,6,0,2nd of 4,Lost Div,N,N
1990,ATL,NFL,Atlanta Falcons,5,11,0,4th of 4,,N,N
1989,ATL,NFL,Atlanta Falcons,3,13,0,4th of 4,,N,N
1988,ATL,NFL,Atlanta Falcons,5,11,0,4th of 4,,N,N
1987,ATL,NFL,Atlanta Falcons,3,12,0,4th of 4,,N,N
1986,ATL,NFL,Atlanta Falcons,7,8,1,3rd of 4,,N,N
1985,ATL,NFL,Atlanta Falcons,4,12,0,4th of 4,,N,N
1984,ATL,NFL,Atlanta Falcons,4,12,0,4th of 4,,N,N
1983,ATL,NFL,Atlanta Falcons,7,9,0,4th of 4,,N,N
1982,ATL,NFL,Atlanta Falcons,5,4,0,1st of 4,Lost WC,N,N
1981,ATL,NFL,Atlanta Falcons,7,9,0,2nd of 4,,N,N
1980,ATL,NFL,Atlanta Falcons,12,4,0,1st of 4,Lost Div,N,N
1979,ATL,NFL,Atlanta Falcons,6,10,0,3rd of 4,,N,N
1978,ATL,NFL,Atlanta Falcons,9,7,0,2nd of 4,Lost Div,N,N
1977,ATL,NFL,Atlanta Falcons,7,7,0,2nd of 4,,N,N
1976,ATL,NFL,Atlanta Falcons,4,10,0,3rd of 5,,N,N
1975,ATL,NFL,Atlanta Falcons,4,10,0,3rd of 4,,N,N
1974,ATL,NFL,Atlanta Falcons,3,11,0,4th of 4,,N,N
1973,ATL,NFL,Atlanta Falcons,9,5,0,2nd of 4,,N,N
1972,ATL,NFL,Atlanta Falcons,7,7,0,2nd of 4,,N,N
1971,ATL,NFL,Atlanta Falcons,7,6,1,3rd of 4,,N,N
1970,ATL,NFL,Atlanta Falcons,4,8,2,3rd of 4,,N,N
1969,ATL,NFL,Atlanta Falcons,6,8,0,3rd of 4,,N,N
1968,ATL,NFL,Atlanta Falcons,2,12,0,4th of 4,,N,N
1967,ATL,NFL,Atlanta Falcons,1,12,1,4th of 4,,N,N
1966,ATL,NFL,Atlanta Falcons,3,11,0,7th of 8,,N,N
2022,BAL,NFL,Baltimore Ravens,10,7,0,2nd of 4,Lost WC,N,N
2021,BAL,NFL,Baltimore Ravens,8,9,0,4th of 4,,N,N
2020,BAL,NFL,Baltimore Ravens,11,5,0,2nd of 4,Lost Div,N,N
2019,BAL,NFL,Baltimore Ravens,14,2,0,1st of 4,Lost Div,N,N
2018,BAL,NFL,Baltimore Ravens,10,6,0,1st of 4,Lost WC,N,N
2017,BAL,NFL,Baltimore Ravens,9,7,0,2nd of 4,,N,N
2016,BAL,NFL,Baltimore Ravens,8,8,0,2nd of 4,,N,N
2015,BAL,NFL,Baltimore Ravens,5,11,0,3rd of 4,,N,N
2014,BAL,NFL,Baltimore Ravens,10,6,0,3rd of 4,Lost Div,N,N
2013,BAL,NFL,Baltimore Ravens,8,8,0,3rd of 4,,N,N
2012,BAL,NFL,Baltimore Ravens,10,6,0,1st of 4,Won SB,Y,Y
2011,BAL,NFL,Baltimore Ravens,12,4,0,1st of 4,Lost Conf,N,N
