yearID,lgID,tmID,franchID,name,confID,divID,playoff,G,W,L,T,OTL
1989,NHL,PIT,PIT,Pittsburgh Penguins,WA,PT,,80,32,40,8,
1989,NHL,QUE,COL,Quebec Nordiques,WA,AD,,80,12,61,7,
1989,NHL,STL,STL,St. Louis Blues,CC,NO,DF,80,37,34,9,
1989,NHL,TOR,TOR,Toronto Maple Leafs,CC,NO,DSF,80,38,38,4,
1989,NHL,VAN,VAN,Vancouver Canucks,CC,SM,,80,25,41,14,
1989,NHL,WAS,WAS,Washington Capitals,WA,PT,CF,80,36,38,6,
1989,NHL,WIN,PHO,Winnipeg Jets,CC,SM,DSF,80,37,32,11,
1990,NHL,BOS,BOS,Boston Bruins,WA,AD,CF,80,44,24,12,
1990,NHL,BUF,BUF,Buffalo Sabres,WA,AD,DSF,80,31,30,19,
1990,NHL,CAL,CAL,Calgary Flames,CC,SM,DSF,80,46,26,8,
1990,NHL,CHI,CHI,Chicago Blackhawks,CC,NO,DSF,80,49,23,8,
1990,NHL,DET,DET,Detroit Red Wings,CC,NO,DSF,80,34,38,8,
1990,NHL,EDM,EDM,Edmonton Oilers,CC,SM,CF,80,37,37,6,
1990,NHL,HAR,CAR,Hartford Whalers,WA,AD,DSF,80,31,38,11,
1990,NHL,LAK,LAK,Los Angeles Kings,CC,SM,DF,80,46,24,10,
1990,NHL,MNS,DAL,Minnesota North Stars,CC,NO,F,80,27,39,14,
1990,NHL,MTL,MTL,Montreal Canadiens,WA,AD,DF,80,39,30,11,
1990,NHL,NJD,NJD,New Jersey Devils,WA,PT,DSF,80,32,33,15,
1990,NHL,NYI,NYI,New York Islanders,WA,PT,,80,25,45,10,
1990,NHL,NYR,NYR,New York Rangers,WA,PT,DSF,80,36,31,13,
1990,NHL,PHI,PHI,Philadelphia Flyers,WA,PT,,80,33,37,10,
1990,NHL,PIT,PIT,Pittsburgh Penguins,WA,PT,SC,80,41,33,6,
1990,NHL,QUE,COL,Quebec Nordiques,WA,AD,,80,16,50,14,
1990,NHL,STL,STL,St. Louis Blues,CC,NO,DF,80,47,22,11,
1990,NHL,TOR,TOR,Toronto Maple Leafs,CC,NO,,80,23,46,11,
1990,NHL,VAN,VAN,Vancouver Canucks,CC,SM,DSF,80,28,43,9,
1990,NHL,WAS,WAS,Washington Capitals,WA,PT,DF,80,37,36,7,
1990,NHL,WIN,PHO,Winnipeg Jets,CC,SM,,80,26,43,11,
1991,NHL,BOS,BOS,Boston Bruins,WA,AD,CF,80,36,32,12,
1991,NHL,BUF,BUF,Buffalo Sabres,WA,AD,DSF,80,31,37,12,
1991,NHL,CAL,CAL,Calgary Flames,CC,SM,,80,31,37,12,
1991,NHL,CHI,CHI,Chicago Blackhawks,CC,NO,F,80,36,29,15,
1991,NHL,DET,DET,Detroit Red Wings,CC,NO,DF,80,43,25,12,
1991,NHL,EDM,EDM,Edmonton Oilers,CC,SM,CF,80,36,34,10,
1991,NHL,HAR,CAR,Hartford Whalers,WA,AD,DSF,80,26,41,13,
